Source,Target,Type,Id,Label
Acciaiuoli,Medici,Undirected,52,
Albizzi,Ginori,Undirected,53,
Albizzi,Guadagni,Undirected,54,
Albizzi,Medici,Undirected,55,
Barbadori,Castellani,Undirected,56,
Barbadori,Medici,Undirected,57,
Bischeri,Guadagni,Undirected,58,
Bischeri,Peruzzi,Undirected,59,
Bischeri,Strozzi,Undirected,60,
Castellani,Peruzzi,Undirected,62,
Castellani,Strozzi,Undirected,63,
Guadagni,Lamberteschi,Undirected,67,
Guadagni,Tornabuoni,Undirected,68,
Medici,Ridolfi,Undirected,73,
Medici,Salviati,Undirected,74,
Medici,Tornabuoni,Undirected,75,
Pazzi,Salviati,Undirected,76,
Peruzzi,Strozzi,Undirected,79,
Ridolfi,Strozzi,Undirected,81,
Ridolfi,Tornabuoni,Undirected,82,
